feature,importance
genre__international_movies,0.06863143859580581
duration_value,0.05312487073129287
genre_count,0.04838859048867646
genre__dramas,0.029126048690914133
genre__international_tv_shows,0.02742787724250686
genre__action_adventure,0.025909896574280143
added_year,0.0256551959530827
years_to_platform,0.02102762716745457
genre__children_family_movies,0.018716037235522415
rating_R,0.017420891955806112
genre__comedies,0.01689102496262553
release_year,0.0158859833491857
rating_TV-14,0.014540618888177016
genre__documentaries,0.014395902079495414
length_category_Medium,0.010687076151011637
