feature,importance
country__united_states,0.09946619163458544
duration_value,0.08576043710798893
rating_R,0.014582945468856837
years_to_platform,0.012744687921192382
rating_TV-Y,0.012003594663329927
rating_TV-MA,0.011844512454170383
rating_TV-Y7,0.011199040672076882
duration_unit_min,0.009841187957152124
added_year,0.008643525689125355
length_category_Short,0.008631490862781399
country_count,0.00848602261365386
type_TV Show,0.008422167769600376
country__india,0.008230307305176675
country__united_kingdom,0.007483521960690002
length_category_Long,0.006499547100884289
